N	N	N	N	N
PEAT	V	AP	RH	PE
8.34	40.77	1010.84	90.01	480.48
23.64	58.49	1011.4	74.2	445.75
29.74	56.9	1007.15	41.91	438.76
19.07	49.69	1007.22	76.79	453.09
11.8	40.66	1017.13	97.2	464.43
13.97	39.16	1016.05	84.6	470.96
22.1	71.29	1008.2	75.38	442.35
14.47	41.76	1021.98	78.41	464
31.25	69.51	1010.25	36.83	428.77
6.77	38.18	1017.8	81.13	484.31
28.28	68.67	1006.36	69.9	435.29
22.99	46.93	1014.15	49.42	451.41
29.3	70.04	1010.95	61.23	426.25
8.14	37.49	1009.04	80.33	480.66
16.92	44.6	1017.34	58.75	460.17
22.72	64.15	1021.14	60.34	453.13
18.14	43.56	1012.83	47.1	461.71
11.49	44.63	1020.44	86.04	471.08
9.94	40.46	1018.9	68.51	473.74
23.54	41.1	1002.05	38.05	448.56
14.9	52.05	1015.11	77.33	464.82
33.8	64.96	1004.88	49.37	427.28
25.37	68.31	1011.12	70.99	441.76
7.29	41.04	1024.06	89.19	474.71
13.55	40.71	1019.13	75.44	467.21
6.39	35.57	1025.53	77.23	487.69
26.64	62.44	1011.81	72.46	438.67
7.84	41.39	1018.21	91.92	485.66
21.82	58.66	1011.71	64.37	452.16
27.17	67.45	1015.67	49.03	429.87
13.42	41.23	994.17	95.79	468.82
20.77	56.85	1012.4	83.63	442.85
8.29	36.08	1020.38	81.53	483.26
30.98	67.45	1015.18	45.4	433.59
31.96	71.29	1008.39	47.51	433.04
15.83	52.75	1024.3	58.34	458.6
22.56	70.79	1005.85	93.09	435.14
25.91	75.6	1018.23	62.65	443.2
8.24	39.61	1017.99	78.42	477.9
24.66	60.29	1018	59.56	445.26
29.31	68.67	1006.18	63.38	435.57
21.48	66.91	1008.58	84.49	447.42
18.28	44.71	1016.99	33.71	462.28
26.96	65.34	1015.05	46.93	441.81
16.01	65.46	1014	87.68	454.16
27.37	63.73	1009.79	65.25	437.24
16.3	39.63	1004.64	85.61	464.11
23.8	48.6	1002.43	67.32	440.89
8.19	41.66	1016.57	75.38	485.2
25.28	67.69	1009.05	68.54	445.34
21.47	70.32	1011.72	88.36	440
30.54	67.45	1014.37	32.97	431.35
18.3	44.06	1017.95	63.24	456.32
25.82	72.39	1003.4	86.33	432.98
31.12	69.13	1009.61	56.54	429.41
15.99	39.63	1006.09	89.92	464.95
8.42	42.28	1008.4	87.78	481.91
23.7	69.23	1011.73	73.18	437.15
15.71	40.12	1012.81	97.46	462.6
29.11	74.9	1003.31	74.01	432.43
23.73	61.02	1009.71	78.7	442.22
28.26	65.34	1014.56	43.4	441.03
15.92	41.2	1016.04	73.37	468.91
33.4	70.8	1009.17	57.01	432.46
31.92	68.3	1015.58	41.55	430.07
26.87	74.99	1002.48	71.91	437.78
5.23	40.78	1025.13	92.74	483.12
15.72	41.76	1023.07	66.95	462.19
17.74	50.88	1015.56	89.78	457.71
27.13	59.54	1004.33	73.27	438.32
25.82	66.49	1013.2	60.32	434.35
34.2	68.14	1002.7	56.09	427.05
19.13	68.61	1010.65	94.92	448.69
11.77	41.06	1021.45	76.63	475.88
10.25	41.46	1018.67	84.41	479.28
23.82	48.92	1010.48	44.45	446.85
30.1	66.25	1009.38	65.41	434.99
29.92	69.75	1009.12	67.15	441.5
29.63	66.75	1018.08	58.46	433.26
30.61	77.17	1009.49	73.19	430.46
16.18	50.88	1014.06	100.09	455.14
31.66	73.91	1004.49	68.13	431.26
29.14	61.5	1009.64	39.95	437.76
18.4	43.96	1012.4	77.81	464.63
15.86	38.62	1016.65	67.51	462.58
6.31	42.07	1004.61	77.74	483.27
23.4	72.99	1009.48	88.82	438.51
33.62	77.17	1009.38	63.71	431.03
6.89	43.65	1019.87	72.77	484
27.41	69.98	1008.51	65.49	431.64
26.37	54.5	1014.48	66.31	451.78
26.58	59.39	1014.49	65.87	439.46
15.25	43.02	1012.04	41.43	467.23
21.24	41.67	1012.6	49.27	459.81
24.98	58.05	1011.69	69.97	447.15
26.63	64.44	1012.66	61.19	442
18.87	52.08	1005.25	99.19	449.61
5.12	40.78	1025.45	96.88	481.28
31.1	71.32	1008.09	45.87	437.54
7.91	39.96	1023.57	88.44	475.52
14.97	58.2	1019.52	81.13	458.68
28.92	61.02	1011.19	56.13	436.76
22.92	61.9	1013.27	78.32	446.08
12.55	38.91	1012.58	75.44	474.35
9.38	41.44	1015.09	86.8	481.96
10.28	41.46	1018.44	85.23	479.66
30.31	77.24	1008.02	67.84	435.28
25.34	71.06	1007.74	92.52	434.86
30.47	70.02	1009.65	62.03	435.72
20.18	56.53	1020.3	77.1	454.14
21.31	46.97	1014.08	62.57	455.76
22.1	74.87	1009.4	85.78	442.83
20.09	63.94	1020.82	74.16	449.47
22.36	58.79	1016.69	73.6	445.76
9.43	37.14	1013.03	74.99	473.57
28.86	49.3	1003.93	52.85	435.75
23.25	70.32	1009.28	86.52	437.96
22.7	60.84	1019.15	71.48	438.59
